type,group,role,shape_general,shape,place,date_earliest,date_latest
greek_amphora_iron_age_-550BCE_1,neck_greek,test,amphora,amphora_neck,greek,-550.0,-500.0
greek_amphora_iron_age_-550BCE_2,neck_greek,test,amphora,amphora_neck,greek,-575.0,-525.0
greek_amphora_iron_age_-550BCE_3,amphora_other_greek,test,amphora,amphora_belly_type_b,greek,-550.0,-500.0
greek_amphora_iron_age_-550BCE_4,panathenaic_greek,test,amphora,amphora_panathenaic,greek,-550.0,-500.0
greek_amphora_iron_age_-550BCE_5,neck_greek,test,amphora,amphora_neck,greek,-550.0,-500.0
greek_amphora_iron_age_-550BCE_6,panathenaic_greek,test,amphora,amphora_panathenaic,greek,-550.0,-500.0
greek_amphora_iron_age_-550BCE_7,neck_greek,test,amphora,amphora_neck,greek,-550.0,-500.0
greek_amphora_iron_age_-550BCE_8,neck_greek,test,amphora,amphora_neck,greek,-550.0,-500.0
greek_amphora_iron_age_-550BCE_9,amphora_other_greek,test,amphora,amphora_belly_type_b,greek,-575.0,-525.0
greek_amphora_iron_age_-550BCE_10,amphora_other_greek,test,amphora,amphora_belly_type_a,greek,-550.0,-500.0
greek_amphora_iron_age_-500BCE_11,amphora_other_greek,test,amphora,amphora_transport,greek,-477.5,-462.5
greek_amphora_iron_age_-500BCE_12,belly_greek,test,amphora,amphora_belly,greek,-500.0,-450.0
greek_amphora_iron_age_-500BCE_13,neck_greek,test,amphora,amphora_neck,greek,-500.0,-450.0
greek_amphora_iron_age_-500BCE_14,neck_greek,test,amphora,amphora_neck,greek,-525.0,-475.0
greek_amphora_iron_age_-500BCE_15,panathenaic_greek,test,amphora,amphora_panathenaic,greek,-500.0,-467.0
greek_amphora_iron_age_-500BCE_16,amphora_other_greek,test,amphora,amphora_NA,greek,-520.0,-480.0
greek_amphora_iron_age_-500BCE_17,neck_greek,test,amphora,amphora_neck,greek,-525.0,-475.0
greek_amphora_iron_age_-500BCE_18,neck_greek,test,amphora,amphora_neck,greek,-525.0,-475.0
greek_amphora_iron_age_-500BCE_19,neck_greek,test,amphora,amphora_neck,greek,-525.0,-475.0
greek_amphora_iron_age_-500BCE_20,amphora_other_greek,test,amphora,amphora_belly_type_b,greek,-525.0,-475.0
greek_amphora_iron_age_-450BCE_21,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_22,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_23,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_24,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_25,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_26,panathenaic_greek,test,amphora,amphora_panathenaic,greek,-487.5,-400.0
greek_amphora_iron_age_-450BCE_27,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_28,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_29,amphora_other_greek,test,amphora,amphora_belly_type_b,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_30,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_pelike_iron_age_-450BCE_31,pelike_greek,test,pelike,pelike_NA,greek,-475.0,-425.0
greek_pelike_iron_age_-450BCE_32,pelike_greek,test,pelike,pelike_NA,greek,-475.0,-425.0
greek_pelike_iron_age_-450BCE_33,pelike_greek,test,pelike,pelike_NA,greek,-475.0,-425.0
greek_pelike_iron_age_-450BCE_34,pelike_greek,test,pelike,pelike_NA,greek,-475.0,-425.0
greek_pelike_iron_age_-450BCE_35,pelike_greek,test,pelike,pelike_NA,greek,-475.0,-425.0
greek_pelike_iron_age_-450BCE_36,pelike_greek,test,pelike,pelike_NA,greek,-450.0,-400.0
greek_pelike_iron_age_-450BCE_37,pelike_greek,test,pelike,pelike_NA,greek,-475.0,-425.0
greek_pelike_iron_age_-450BCE_38,pelike_greek,test,pelike,pelike_NA,greek,-475.0,-425.0
greek_pelike_iron_age_-450BCE_39,pelike_greek,test,pelike,pelike_NA,greek,-450.0,-400.0
greek_pelike_iron_age_-450BCE_40,pelike_greek,test,pelike,pelike_NA,greek,-450.0,-400.0
greek_italiote_pelike_iron_age_-400BCE_41,pelike_ital,test,pelike,pelike_NA,greek_italiote,-420.0,-300.0
greek_italiote_pelike_iron_age_-400BCE_42,pelike_ital,test,pelike,pelike_NA,greek_italiote,-420.0,-300.0
greek_italiote_pelike_iron_age_-400BCE_43,pelike_ital,test,pelike,pelike_NA,greek_italiote,-420.0,-300.0
greek_italiote_pelike_iron_age_-400BCE_44,pelike_ital,test,pelike,pelike_NA,greek_italiote,-420.0,-300.0
greek_italiote_pelike_iron_age_-400BCE_45,pelike_ital,test,pelike,pelike_NA,greek_italiote,-420.0,-300.0
greek_italiote_pelike_iron_age_-400BCE_46,pelike_ital,test,pelike,pelike_NA,greek_italiote,-420.0,-300.0
greek_italiote_pelike_iron_age_-400BCE_47,pelike_ital,test,pelike,pelike_NA,greek_italiote,-420.0,-300.0
greek_italiote_pelike_iron_age_-400BCE_48,pelike_ital,test,pelike,pelike_NA,greek_italiote,-420.0,-300.0
greek_italiote_pelike_iron_age_-400BCE_49,pelike_ital,test,pelike,pelike_NA,greek_italiote,-420.0,-300.0
greek_italiote_pelike_iron_age_-400BCE_50,pelike_ital,test,pelike,pelike_NA,greek_italiote,-420.0,-300.0
greek_pelike_iron_age_-500BCE_51,pelike_greek,test,pelike,pelike_NA,greek,-500.0,-450.0
greek_pelike_iron_age_-500BCE_52,pelike_greek,test,pelike,pelike_NA,greek,-525.0,-475.0
greek_pelike_iron_age_-500BCE_53,pelike_greek,test,pelike,pelike_NA,greek,-500.0,-450.0
greek_pelike_iron_age_-500BCE_54,pelike_greek,test,pelike,pelike_NA,greek,-500.0,-450.0
greek_pelike_iron_age_-500BCE_55,pelike_greek,test,pelike,pelike_NA,greek,-500.0,-450.0
greek_pelike_iron_age_-500BCE_56,pelike_greek,test,pelike,pelike_NA,greek,-525.0,-475.0
greek_pelike_iron_age_-500BCE_57,pelike_greek,test,pelike,pelike_NA,greek,-512.5,-462.5
greek_pelike_iron_age_-500BCE_58,pelike_greek,test,pelike,pelike_NA,greek,-500.0,-450.0
greek_pelike_iron_age_-500BCE_59,pelike_greek,test,pelike,pelike_NA,greek,-500.0,-450.0
greek_pelike_iron_age_-500BCE_60,pelike_greek,test,pelike,pelike_NA,greek,-500.0,-450.0
greek_amphora_iron_age_-800BCE_61,neck_greek,test,amphora,amphora_neck,greek,-900.0,-700.0
greek_amphora_iron_age_-800BCE_62,neck_greek,test,amphora,amphora_neck,greek,-900.0,-700.0
greek_amphora_iron_age_-800BCE_63,neck_greek,test,amphora,amphora_neck,greek,-900.0,-700.0
